                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0923,                0.81335,                 1.1868,                0.85312,                0.82406,                0.86251,                0.52527,                 1.3421,                0.83928,                 1.3612,               0.008086,               0.008086,               0.008086
                     60,                 1.0825,                0.80241,                 1.1897,                0.84609,                0.81958,                0.86125,                0.51694,                 1.3063,                0.82627,                 1.3236,               0.008053,               0.008053,               0.008053
                     61,                 1.0739,                0.77804,                 1.1775,                0.83816,                0.82728,                0.87141,                0.53166,                  1.306,                 0.8261,                 1.3241,                0.00802,                0.00802,                0.00802
                     62,                 1.0657,                0.78372,                  1.173,                0.86205,                0.83285,                0.86763,                0.54468,                 1.3004,                0.81365,                 1.3127,               0.007987,               0.007987,               0.007987
                     63,                  1.073,                0.78116,                 1.1738,                0.85278,                0.82778,                0.87119,                0.54801,                 1.2758,                 0.8197,                 1.3075,               0.007954,               0.007954,               0.007954
                     64,                 1.0658,                0.78334,                 1.1714,                0.83216,                0.83984,                0.88091,                0.55221,                  1.278,                0.77455,                 1.2958,               0.007921,               0.007921,               0.007921
                     65,                 1.0643,                0.77874,                  1.174,                0.85018,                0.83344,                0.86867,                0.54033,                 1.2629,                0.79158,                 1.3141,               0.007888,               0.007888,               0.007888
                     66,                   1.06,                0.76862,                 1.1595,                0.81668,                 0.8582,                0.87413,                0.54409,                 1.3077,                0.77803,                 1.3241,               0.007855,               0.007855,               0.007855
                     67,                 1.0602,                0.77344,                  1.173,                0.84612,                0.83691,                 0.8743,                0.53787,                 1.2954,                0.78805,                 1.3054,               0.007822,               0.007822,               0.007822
                     68,                 1.0514,                0.76638,                 1.1643,                0.84994,                0.83813,                0.86915,                0.53378,                 1.3214,                0.79657,                 1.3194,               0.007789,               0.007789,               0.007789
                     69,                 1.0446,                0.76425,                 1.1502,                  0.848,                 0.8271,                0.87872,                 0.5443,                 1.2798,                0.77904,                 1.2983,               0.007756,               0.007756,               0.007756
                     70,                 1.0462,                0.76665,                 1.1584,                0.83105,                0.85013,                0.87574,                0.54424,                 1.2932,                0.79071,                 1.3254,               0.007723,               0.007723,               0.007723
                     71,                 1.0322,                0.76168,                 1.1555,                0.83497,                0.83925,                0.87368,                0.54467,                 1.3082,                0.79381,                 1.3294,                0.00769,                0.00769,                0.00769
                     72,                 1.0387,                 0.7659,                 1.1566,                0.84429,                0.83527,                  0.878,                0.53465,                 1.2918,                0.78822,                 1.3171,               0.007657,               0.007657,               0.007657
                     73,                 1.0313,                0.74225,                 1.1532,                0.87522,                0.82909,                0.87309,                 0.5305,                 1.3091,                0.77252,                 1.3319,               0.007624,               0.007624,               0.007624
                     74,                 1.0412,                0.75308,                 1.1503,                0.83065,                0.84549,                0.87125,                0.53199,                 1.3119,                0.76414,                 1.3436,               0.007591,               0.007591,               0.007591
                     75,                  1.028,                0.73787,                  1.146,                0.86528,                0.83818,                0.88406,                0.54449,                 1.2955,                0.78166,                 1.3328,               0.007558,               0.007558,               0.007558
                     76,                 1.0284,                0.75138,                 1.1473,                0.85348,                0.84042,                 0.8767,                0.53636,                 1.2922,                0.81383,                 1.3316,               0.007525,               0.007525,               0.007525
                     77,                  1.021,                0.73931,                 1.1403,                0.83811,                0.86039,                0.87563,                0.53446,                  1.298,                0.79638,                 1.3318,               0.007492,               0.007492,               0.007492
